subject,course,topic_id,beat,issue_type,beat_text
archaeology,archaeological-mysteries-and-hoaxes,t-piltdown-man-the-greatest-fossil-hoax,twist,truncated,"...but Arthur Conan Doyle — Sherlock Holmes's creator — is."
archaeology,archaeological-mysteries-and-hoaxes,t-shinichi-fujimura-japan-s-god-hand,discovery,truncated,"...filmed Fujimura burying artifacts at a site before the official."
archaeology,archaeological-mysteries-and-hoaxes,t-shinichi-fujimura-japan-s-god-hand,climax,truncated,"...His fabrications affected 180 sites and erased decades of published."
archaeology,archaeological-mysteries-and-hoaxes,t-the-cardiff-giant-a-stone-man-hoax,buildup,truncated,"...buried it a year earlier to win a bet about."
archaeology,archaeological-mysteries-and-hoaxes,t-the-kensington-runestone,buildup,truncated,"...found them dead and red with blood when they."
archaeology,archaeological-mysteries-and-hoaxes,t-the-plain-of-jars-laos-s-stone-puzzle,buildup,truncated,"...They stand up to 10 feet tall and date to around 500 BCE to."
archaeology,archaeological-mysteries-and-hoaxes,t-the-plain-of-jars-laos-s-stone-puzzle,twist,truncated,"...The plain is one of the most heavily bombed places on earth. U.S."
archaeology,archaeological-mysteries-and-hoaxes,t-the-plain-of-jars-laos-s-stone-puzzle,climax,truncated,"...Bomb clearance teams must clear unexploded ordnance before."
archaeology,archaeological-mysteries-and-hoaxes,t-the-ancestral-puebloans-cliff-dwellers-who-left,hook,truncated,"...abandoned them all around 1300 CE and never."
archaeology,archaeological-mysteries-and-hoaxes,t-the-bronze-age-collapse,buildup,truncated,"...all fell or were severely weakened between 1250 and 1150."
archaeology,archaeological-mysteries-and-hoaxes,t-the-bronze-age-collapse,twist,truncated,"...Drought, earthquakes, trade disruption, internal revolts."
archaeology,archaeological-mysteries-and-hoaxes,t-the-greenland-norse-vikings-who-vanished,discovery,truncated,"...refused to eat fish or learn Inuit hunting methods — a fatal cultural."
archaeology,archaeological-mysteries-and-hoaxes,t-the-greenland-norse-vikings-who-vanished,punchline,truncated,"...The ice returned and the ships."
archaeology,archaeological-mysteries-and-hoaxes,t-the-khmer-empire-angkor-s-slow-decline,buildup,truncated,"...a million people supported by a vast water."
archaeology,archaeological-mysteries-and-hoaxes,t-the-minoan-collapse,hook,truncated,"...built grand palaces and then suddenly disappeared around."
archaeology,archaeological-mysteries-and-hoaxes,t-the-minoan-collapse,twist,truncated,"...the eruption weakened them but something else finished."
archaeology,archaeological-mysteries-and-hoaxes,t-the-roanoke-colony-the-lost-colonists,discovery,truncated,"...every building had been dismantled and."
archaeology,archaeological-mysteries-and-hoaxes,t-ancient-aliens-why-the-theory-is-wrong,twist,truncated,"...but no one claims aliens built."
archaeology,archaeological-mysteries-and-hoaxes,t-atlantis-the-myth-that-won-t-die,buildup,truncated,"...advanced technology that angered."
archaeology,archaeological-mysteries-and-hoaxes,t-atlantis-the-myth-that-won-t-die,twist,truncated,"...not a historical."
archaeology,archaeological-mysteries-and-hoaxes,t-atlantis-the-myth-that-won-t-die,climax,truncated,"...a real civilization destroyed by."
archaeology,archaeological-mysteries-and-hoaxes,t-atlantis-the-myth-that-won-t-die,punchline,truncated,"...The world spent 2,400 years looking for."
archaeology,archaeological-mysteries-and-hoaxes,t-crystal-skulls-hollywood-vs-reality,discovery,truncated,"...technology unavailable to ancient."
archaeology,archaeological-mysteries-and-hoaxes,t-crystal-skulls-hollywood-vs-reality,twist,truncated,"...No crystal skull has ever been found in a documented archaeological."
archaeology,archaeological-mysteries-and-hoaxes,t-crystal-skulls-hollywood-vs-reality,punchline,truncated,"...Just clever 19th-century craftsmen and."
archaeology,archaeological-mysteries-and-hoaxes,t-graham-hancock-and-the-lost-civilization,twist,truncated,"...publish all findings openly and welcome challenges —."
archaeology,archaeological-mysteries-and-hoaxes,t-graham-hancock-and-the-lost-civilization,climax,truncated,"...extraordinary claims require extraordinary evidence —."
archaeology,archaeological-mysteries-and-hoaxes,t-pseudoarchaeology-how-to-spot-it,hook,truncated,"...pseudoarchaeology thrives because real archaeology."
archaeology,archaeological-mysteries-and-hoaxes,t-pseudoarchaeology-how-to-spot-it,twist,truncated,"...Genuine mysteries attract fake explanations because real."
archaeology,archaeological-mysteries-and-hoaxes,t-the-copper-scroll-a-real-treasure-map,buildup,truncated,"...it is not religious but a practical."
archaeology,archaeological-mysteries-and-hoaxes,t-the-copper-scroll-a-real-treasure-map,discovery,truncated,"...'in the cistern under."
archaeology,archaeological-mysteries-and-hoaxes,t-rongorongo-of-easter-island,twist,truncated,"...one of only a handful of times writing was invented from."
archaeology,archaeological-mysteries-and-hoaxes,t-g-bekli-tepe-the-temple-before-farming,hook,truncated,"...6,000 years before Stonehenge and before."
archaeology,archaeological-mysteries-and-hoaxes,t-g-bekli-tepe-the-temple-before-farming,twist,truncated,"...At Göbekli Tepe."
archaeology,archaeological-mysteries-and-hoaxes,t-the-voynich-manuscript,buildup,truncated,"...botanical illustrations, star charts."
archaeology,famous-archaeological-discoveries,t-seriation-dating-by-style,buildup,truncated,"...Designs start rare, become popular."
archaeology,how-archaeology-works,t-aerial-photography-and-crop-marks,climax,truncated,"...Drought made crop marks so sharp that drone pilots found ancient."
archaeology,how-archaeology-works,t-aerial-photography-and-crop-marks,punchline,truncated,"...was the best thing to happen to British."
archaeology,how-archaeology-works,t-ground-penetrating-radar,hook,truncated,"...can find buried walls, tombs."
archaeology,how-archaeology-works,t-lidar-lasers-through-the-jungle,punchline,truncated,"...Entire civilizations were hiding under."
archaeology,how-archaeology-works,t-metal-detecting-and-the-law,climax,truncated,"...a database no other country."
archaeology,how-archaeology-works,t-context-sheets-the-paper-trail,discovery,truncated,"...a coin in."
archaeology,how-archaeology-works,t-when-digging-is-not-allowed,climax,truncated,"...shifted from 'right to dig' to 'permission to."
archaeology,how-archaeology-works,t-community-archaeology-digging-together,twist,truncated,"...reversing a century of outsider-driven."
archaeology,how-archaeology-works,t-looting-and-the-antiquities-black-market,hook,truncated,"...pass through dealers, auction houses."
archaeology,how-archaeology-works,t-repatriation-returning-stolen-heritage,climax,truncated,"...France passed a law to return African artifacts. Belgium, the Netherlands."
archaeology,how-archaeology-works,t-the-elgin-marbles-debate,discovery,truncated,"...with empty spaces waiting for."
archaeology,how-archaeology-works,t-the-elgin-marbles-debate,twist,truncated,"...every museum would have to empty its."
archaeology,how-archaeology-works,t-who-owns-the-past,climax,truncated,"...The case changed how U.S."
archaeology,how-archaeology-works,t-ceramic-analysis-stories-in-pots,twist,truncated,"...Traces of wine, olive oil, milk."
archaeology,how-archaeology-works,t-ceramic-analysis-stories-in-pots,punchline,truncated,"...The clay, the shape."
archaeology,how-archaeology-works,t-experimental-archaeology-learning-by-doing,discovery,truncated,"...using just ropes and wooden."
archaeology,how-archaeology-works,t-experimental-archaeology-learning-by-doing,climax,truncated,"...could have made voyages once."
archaeology,how-archaeology-works,t-forensic-archaeology-bones-tell-stories,twist,truncated,"...identify victims of modern crimes and."
archaeology,how-archaeology-works,t-isotope-analysis-you-are-what-you-eat,discovery,truncated,"...high carbon-13 means marine."
archaeology,how-archaeology-works,t-zooarchaeology-reading-animal-bones,climax,truncated,"...proof the settlers ate their animals during the starving."
archaeology,how-archaeology-works,t-dendrochronology-tree-ring-dating,buildup,truncated,"...scientists built continuous records stretching back thousands."
archaeology,lost-cities-of-the-ancient-world,t-caral-the-americas-oldest-city,twist,truncated,"...thought to have been invented 3,000 years later by."
archaeology,lost-cities-of-the-ancient-world,t-why-cities-disappear,climax,truncated,"...rising seas and shifting."
archaeology,mesopotamia-cradle-of-civilization,t-eridu-the-first-city,buildup,truncated,"...grew into a temple complex over 4,000."
archaeology,mesopotamia-cradle-of-civilization,t-the-fertile-crescent-where-it-all-began,twist,truncated,"...eventually poisoned the soil and ruined."
archaeology,mesopotamia-cradle-of-civilization,t-the-invention-of-the-wheel,punchline,truncated,"...Someone turned it sideways and changed."
archaeology,mesopotamia-cradle-of-civilization,t-sumerian-schools-the-first-classrooms,hook,truncated,"...we know because they wrote about."
archaeology,mesopotamia-cradle-of-civilization,t-sumerian-schools-the-first-classrooms,punchline,truncated,"...School has not changed much in 4,000."
archaeology,mesopotamia-cradle-of-civilization,t-the-epic-of-gilgamesh,hook,truncated,"...fights monsters, loses his best friend."
archaeology,mesopotamia-cradle-of-civilization,t-the-royal-tombs-of-ur,hook,truncated,"...they had been buried alive with."
archaeology,mesopotamia-cradle-of-civilization,t-the-royal-tombs-of-ur,twist,truncated,"...The 'willing sacrifice' story may have been wrong all."
archaeology,mesopotamia-cradle-of-civilization,t-the-standard-of-ur-war-and-peace,hook,truncated,"...it tells a story on each."
